assay_id,uniprot_id,source_single_variants,score_single_variants,matched_dms_scores,duplicate_score_variants,dms_score_max_abs_difference,common_finite_scores,common_score_coverage,ESM1v_ensemble_finite_scores,ESM2_8M_finite_scores,ESM2_35M_finite_scores,ESM2_150M_finite_scores,ESM2_650M_finite_scores,ESM2_3B_finite_scores,ESM2_15B_finite_scores,eligible_for_zero_shot,exclusion_reasons
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN,3637,3637,3637,0,0.0,3637,1.0,3637,3637,3637,3637,3637,3637,3637,True,
SRC_HUMAN_Nguyen_2022,SRC_HUMAN,3366,3366,3366,0,0.0,3366,1.0,3366,3366,3366,3366,3366,3366,3366,True,
SUMO1_HUMAN_Weile_2017,SUMO1_HUMAN,1700,1700,1700,0,0.0,1700,1.0,1700,1700,1700,1700,1700,1700,1700,True,
SYUA_HUMAN_Newberry_2020,SYUA_HUMAN,2497,2497,2497,0,0.0,2497,1.0,2497,2497,2497,2497,2497,2497,2497,True,
TADBP_HUMAN_Bolognesi_2019,TADBP_HUMAN,1196,1196,1196,0,0.0,1196,1.0,1196,1196,1196,1196,1196,1196,1196,True,
TAT_HV1BR_Fernandes_2016,TAT_HV1BR,1577,1577,1577,0,0.0,1577,1.0,1577,1577,1577,1577,1577,1577,1577,True,
TCRG1_MOUSE_Tsuboyama_2023_1E0L,TCRG1_MOUSE,621,621,621,0,4.440892098500626e-16,621,1.0,621,621,621,621,621,621,621,True,
THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,656,656,656,0,4.440892098500626e-16,656,1.0,656,656,656,656,656,656,656,True,
TNKS2_HUMAN_Tsuboyama_2023_5JRT,TNKS2_HUMAN,1118,1118,1118,0,4.440892098500626e-16,1118,1.0,1118,1118,1118,1118,1118,1118,1118,True,
TPK1_HUMAN_Weile_2017,TPK1_HUMAN,3181,3181,3181,0,0.0,3181,1.0,3181,3181,3181,3181,3181,3181,3181,True,
TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,3648,3648,3648,0,0.0,3648,1.0,3648,3648,3648,3648,3648,3648,3648,True,
TPOR_HUMAN_Bridgford_2020,TPOR_HUMAN,562,562,562,0,0.0,562,1.0,562,562,562,562,562,562,562,True,
TRPC_SACS2_Chan_2017,TRPC_SACS2,1519,1519,1519,0,0.0,1519,1.0,1519,1519,1519,1519,1519,1519,1519,True,
TRPC_THEMA_Chan_2017,TRPC_THEMA,1519,1519,1519,0,0.0,1519,1.0,1519,1519,1519,1519,1519,1519,1519,True,
UBC9_HUMAN_Weile_2017,UBC9_HUMAN,2563,2563,2563,0,0.0,2563,1.0,2563,2563,2563,2563,2563,2563,2563,True,
UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBE4B_HUMAN,1118,1118,1118,0,4.440892098500626e-16,1118,1.0,1118,1118,1118,1118,1118,1118,1118,True,
UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE,899,899,899,0,0.0,899,1.0,899,899,899,899,899,899,899,True,
UBR5_HUMAN_Tsuboyama_2023_1I2T,UBR5_HUMAN,1094,1094,1094,0,4.440892098500626e-16,1094,1.0,1094,1094,1094,1094,1094,1094,1094,True,
VG08_BPP22_Tsuboyama_2023_2GP8,VG08_BPP22,723,723,723,0,4.440892098500626e-16,723,1.0,723,723,723,723,723,723,723,True,
VILI_CHICK_Tsuboyama_2023_1YU5,VILI_CHICK,1202,1202,1202,0,4.440892098500626e-16,1202,1.0,1202,1202,1202,1202,1202,1202,1202,True,
VKOR1_HUMAN_Chiasson_2020_abundance,VKOR1_HUMAN,2695,2695,2695,0,0.0,2695,1.0,2695,2695,2695,2695,2695,2695,2695,True,
VKOR1_HUMAN_Chiasson_2020_activity,VKOR1_HUMAN,697,697,697,0,0.0,697,1.0,697,697,697,697,697,697,697,True,
VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,1047,1047,1047,0,4.440892098500626e-16,1047,1.0,1047,1047,1047,1047,1047,1047,1047,True,
YAIA_ECOLI_Tsuboyama_2023_2KVT,YAIA_ECOLI,928,928,928,0,8.881784197001252e-16,928,1.0,928,928,928,928,928,928,928,True,
YNZC_BACSU_Tsuboyama_2023_2JVD,YNZC_BACSU,714,714,714,0,4.440892098500626e-16,714,1.0,714,714,714,714,714,714,714,True,
