protein_a,protein_b,direction_count,reciprocal_minimum_tm_score,reciprocal_minimum_coverage,reciprocal_minimum_lddt,reciprocal_minimum_homology_probability,maximum_sequence_identity,maximum_alignment_length,minimum_e_value,minimum_bit_score,qualifies_structure_edge,protein_a_family_id,protein_b_family_id
AMFR_HUMAN,DLG4_RAT,2,0.04088,0.232,0.2829,0.0,0.011,174,0.2341,4,False,ssf_cf49a18e12cd,ssf_d98da1f7d712
AMFR_HUMAN,DN7A_SACS2,2,0.2428,0.673,0.2854,0.051,0.035,56,0.2519,24,False,ssf_cf49a18e12cd,ssf_0500559dbf7c
AMFR_HUMAN,DNJA1_HUMAN,2,0.3248,0.6,0.4157,0.106,0.047,42,0.3733,32,False,ssf_cf49a18e12cd,ssf_3bc8071abc2c
AMFR_HUMAN,DOCK1_MOUSE,2,0.2275,0.758,0.2823,0.057,0.015,75,0.2451,25,False,ssf_cf49a18e12cd,ssf_09af8f8b7309
AMFR_HUMAN,DYR_ECOLI,2,0.1179,0.648,0.1828,0.007,0.016,120,0.1965,11,False,ssf_cf49a18e12cd,ssf_0932cd92de6e
AMFR_HUMAN,ENVZ_ECOLI,2,0.3144,0.702,0.4597,0.098,0.029,67,0.3476,31,False,ssf_cf49a18e12cd,ssf_2ee5fd080c0f
AMFR_HUMAN,ENV_HV1BR,2,0.04153,0.152,0.2903,0.0,0.042,140,0.28,4,False,ssf_cf49a18e12cd,ssf_1bf288bd319a
AMFR_HUMAN,EPHB2_HUMAN,2,0.3098,0.621,0.3829,0.09,0.085,47,0.3363,30,False,ssf_cf49a18e12cd,ssf_1a40a2a2ccdc
AMFR_HUMAN,ESTA_BACSU,2,0.1289,0.766,0.2478,0.008,0.0,176,0.2699,12,False,ssf_cf49a18e12cd,ssf_eb7894768bb9
AMFR_HUMAN,FECA_ECOLI,2,0.2813,0.556,0.3312,0.069,0.075,72,0.3159,27,False,ssf_cf49a18e12cd,ssf_9a3ea6c0c19c
AMFR_HUMAN,FKBP3_HUMAN,2,0.3059,0.754,0.3605,0.09,0.034,58,0.3343,30,False,ssf_cf49a18e12cd,ssf_178ecc1910b6
AMFR_HUMAN,GAL4_YEAST,2,0.03591,0.049,0.4707,0.0,0.055,54,0.2373,3,False,ssf_cf49a18e12cd,ssf_2be67f569203
AMFR_HUMAN,GDIA_HUMAN,2,0.06227,0.172,0.2524,0.0,0.034,93,0.2063,6,False,ssf_cf49a18e12cd,ssf_8931019bd293
AMFR_HUMAN,GFP_AEQVI,2,0.1234,0.777,0.2095,0.008,0.02,192,0.2299,12,False,ssf_cf49a18e12cd,ssf_cba7b508de0e
AMFR_HUMAN,GRB2_HUMAN,2,0.1043,0.41,0.3093,0.0,0.03,133,0.2347,10,False,ssf_cf49a18e12cd,ssf_a2995dce9367
AMFR_HUMAN,HCP_LAMBD,2,0.3445,0.436,0.3939,0.126,0.066,30,0.3673,34,False,ssf_cf49a18e12cd,ssf_f4afbafe8fe3
AMFR_HUMAN,HECD1_HUMAN,2,0.2322,0.681,0.2748,0.045,0.037,79,0.2692,23,False,ssf_cf49a18e12cd,ssf_45f2530c8897
AMFR_HUMAN,HEM3_HUMAN,2,0.09157,0.568,0.3483,0.0,0.023,212,0.3165,9,False,ssf_cf49a18e12cd,ssf_afe0fb52df15
AMFR_HUMAN,HMDH_HUMAN,2,0.03674,0.13,0.3367,0.0,0.017,150,0.2743,4,False,ssf_cf49a18e12cd,ssf_a470df240675
AMFR_HUMAN,HSP82_YEAST,2,0.04295,0.133,0.2181,0.0,0.018,107,0.2374,4,False,ssf_cf49a18e12cd,ssf_4ba74830b6b6
AMFR_HUMAN,HXK4_HUMAN,2,0.05915,0.731,0.221,0.0,0.002,384,0.2091,5,False,ssf_cf49a18e12cd,ssf_b10f2912eeeb
AMFR_HUMAN,I6TAH8_I68A0,2,0.06956,0.669,0.2355,0.0,0.011,341,0.2492,7,False,ssf_cf49a18e12cd,ssf_ac5654d2afd9
AMFR_HUMAN,IF1_ECOLI,2,0.2321,0.583,0.2941,0.045,0.03,66,0.253,23,False,ssf_cf49a18e12cd,ssf_ab9383c4e9ad
AMFR_HUMAN,ILF3_HUMAN,2,0.2918,0.83,0.4018,0.082,0.026,76,0.3314,29,False,ssf_cf49a18e12cd,ssf_8239bef973ac
AMFR_HUMAN,ISDH_STAAW,2,0.2942,0.527,0.4643,0.082,0.218,32,0.3048,29,False,ssf_cf49a18e12cd,ssf_952abe758b6a
AMFR_HUMAN,KCNE1_HUMAN,2,0.1512,0.279,0.3612,0.011,0.016,59,0.2432,15,False,ssf_cf49a18e12cd,ssf_8626537a0620
AMFR_HUMAN,KCNJ2_MOUSE,2,0.08439,0.145,0.4238,0.0,0.029,67,0.3371,8,False,ssf_cf49a18e12cd,ssf_f35e7c0d2382
AMFR_HUMAN,KKA2_KLEPN,2,0.1193,0.364,0.372,0.007,0.019,104,0.2532,11,False,ssf_cf49a18e12cd,ssf_72f0344ad526
AMFR_HUMAN,LGK_LIPST,2,0.06148,0.542,0.274,0.0,0.0,284,0.2084,6,False,ssf_cf49a18e12cd,ssf_bba3db8a5a23
AMFR_HUMAN,MAFG_MOUSE,2,0.3377,0.383,0.4222,0.116,0.0,18,0.358,33,False,ssf_cf49a18e12cd,ssf_a1eda43852c5
AMFR_HUMAN,MBD11_ARATH,2,0.2305,0.348,0.3596,0.04,0.12,42,0.2496,22,False,ssf_cf49a18e12cd,ssf_029b997580c1
AMFR_HUMAN,MET_HUMAN,2,0.09923,0.16,0.2409,0.007,0.054,86,0.2542,11,False,ssf_cf49a18e12cd,ssf_9e206bd97a80
AMFR_HUMAN,MK01_HUMAN,2,0.08611,0.208,0.1995,0.0,0.054,91,0.2578,9,False,ssf_cf49a18e12cd,ssf_29a8f9564eb0
AMFR_HUMAN,MLAC_ECOLI,2,0.1252,0.19,0.3262,0.008,0.024,133,0.268,12,False,ssf_cf49a18e12cd,ssf_2185c9b20e14
AMFR_HUMAN,MSH2_HUMAN,2,0.03789,0.069,0.3432,0.0,0.027,73,0.2414,3,False,ssf_cf49a18e12cd,ssf_48cbc265b524
AMFR_HUMAN,MTH3_HAEAE,2,0.09576,0.321,0.2557,0.0,0.017,320,0.2534,9,False,ssf_cf49a18e12cd,ssf_9a90786f7320
AMFR_HUMAN,MTHR_HUMAN,2,0.05163,0.346,0.2223,0.0,0.004,444,0.1936,5,False,ssf_cf49a18e12cd,ssf_095a60e097b5
AMFR_HUMAN,MYO3_YEAST,2,0.2164,0.721,0.2635,0.034,0.05,60,0.2242,21,False,ssf_cf49a18e12cd,ssf_09af8f8b7309
AMFR_HUMAN,NCAP_I34A1,2,0.0696,0.669,0.2361,0.0,0.014,341,0.248,7,False,ssf_cf49a18e12cd,ssf_ac5654d2afd9
AMFR_HUMAN,NKX31_HUMAN,2,0.3279,0.525,0.444,0.106,0.06,66,0.3597,32,False,ssf_cf49a18e12cd,ssf_3de478b56341
AMFR_HUMAN,NPC1_HUMAN,2,0.03027,0.082,0.3042,0.0,0.033,149,0.2522,3,False,ssf_cf49a18e12cd,ssf_9d5fffe3ecc6
AMFR_HUMAN,NUD15_HUMAN,2,0.1576,0.427,0.2706,0.011,0.012,79,0.2699,15,False,ssf_cf49a18e12cd,ssf_7dd15a2e7599
AMFR_HUMAN,NUSA_ECOLI,2,0.4155,0.841,0.5287,0.233,0.066,60,0.473,41,False,ssf_cf49a18e12cd,ssf_a92a5d40f0e3
AMFR_HUMAN,NUSG_MYCTU,2,0.2626,0.782,0.2858,0.063,0.017,57,0.2696,26,False,ssf_cf49a18e12cd,ssf_12ebdb52f01c
AMFR_HUMAN,OBSCN_HUMAN,2,0.2131,0.638,0.2632,0.04,0.031,64,0.2317,22,False,ssf_cf49a18e12cd,ssf_09af8f8b7309
AMFR_HUMAN,ODP2_GEOSE,2,0.3885,0.894,0.5043,0.196,0.148,48,0.3914,39,False,ssf_cf49a18e12cd,ssf_a7d25cc6753c
AMFR_HUMAN,OTC_HUMAN,2,0.08306,0.384,0.1903,0.0,0.027,147,0.2681,8,False,ssf_cf49a18e12cd,ssf_85ec1183d131
AMFR_HUMAN,OTU7A_HUMAN,2,0.6812,0.936,0.7318,0.912,0.066,45,0.7083,68,False,ssf_cf49a18e12cd,ssf_24059a2f71bf
AMFR_HUMAN,OXDA_RHOTO,2,0.07345,0.102,0.2081,0.0,0.025,344,0.2217,7,False,ssf_cf49a18e12cd,ssf_08db490a0d52
AMFR_HUMAN,P53_HUMAN,2,0.06601,0.57,0.2683,0.0,0.012,232,0.2071,6,False,ssf_cf49a18e12cd,ssf_a3526b63cbae
AMFR_HUMAN,P84126_THETH,2,0.1045,0.362,0.2048,0.0,0.038,105,0.2381,10,False,ssf_cf49a18e12cd,ssf_415fc4c4433b
AMFR_HUMAN,PABP_YEAST,2,0.04724,0.055,0.4362,0.0,0.121,52,0.232,4,False,ssf_cf49a18e12cd,ssf_a34f78cda012
AMFR_HUMAN,PAI1_HUMAN,2,0.08793,0.552,0.233,0.0,0.006,321,0.3004,9,False,ssf_cf49a18e12cd,ssf_51cbf66f0934
AMFR_HUMAN,PA_I34A1,2,0.05326,0.335,0.2501,0.0,0.008,243,0.2252,5,False,ssf_cf49a18e12cd,ssf_ec35c0fe8f0c
AMFR_HUMAN,PHOT_CHLRE,2,0.2042,0.864,0.2198,0.029,0.045,111,0.2724,20,False,ssf_cf49a18e12cd,ssf_3193156583c0
AMFR_HUMAN,PIN1_HUMAN,2,0.2321,0.59,0.2852,0.045,0.023,43,0.2358,23,False,ssf_cf49a18e12cd,ssf_27b2fd965bcd
AMFR_HUMAN,PITX2_HUMAN,2,0.3622,0.615,0.4559,0.15,0.058,34,0.3743,36,False,ssf_cf49a18e12cd,ssf_3de478b56341
AMFR_HUMAN,PKN1_HUMAN,2,0.305,0.479,0.492,0.09,0.027,36,0.3702,30,False,ssf_cf49a18e12cd,ssf_32b373a919b9
AMFR_HUMAN,POLG_CXB3N,2,0.01651,0.02,0.36,0.0,0.019,517,0.2186,1,False,ssf_cf49a18e12cd,ssf_6872ef7481de
AMFR_HUMAN,POLG_DEN26,2,0.03132,0.053,0.2901,0.0,0.004,248,0.224,3,False,ssf_cf49a18e12cd,ssf_1d81bb997017
AMFR_HUMAN,POLG_HCVJF,2,0.1122,0.639,0.4222,0.007,0.011,169,0.2439,11,False,ssf_cf49a18e12cd,ssf_55f4d290e887
AMFR_HUMAN,POLG_PESV,2,0.4081,0.849,0.4985,0.214,0.04,50,0.422,40,False,ssf_cf49a18e12cd,ssf_dc63c2b3ba7c
AMFR_HUMAN,PPARG_HUMAN,2,0.06179,0.364,0.2793,0.0,0.015,188,0.2699,6,False,ssf_cf49a18e12cd,ssf_6d98a5313455
AMFR_HUMAN,PPM1D_HUMAN,2,0.04993,0.096,0.2396,0.0,0.048,160,0.2097,4,False,ssf_cf49a18e12cd,ssf_c26e504ac4d4
AMFR_HUMAN,PR40A_HUMAN,2,0.322,0.66,0.3702,0.106,0.022,44,0.3619,32,False,ssf_cf49a18e12cd,ssf_f662b12b6174
AMFR_HUMAN,PRKN_HUMAN,2,0.06421,0.626,0.3335,0.0,0.01,324,0.2417,6,False,ssf_cf49a18e12cd,ssf_044a6e3db01c
AMFR_HUMAN,PSAE_PICP2,2,0.256,0.824,0.2663,0.057,0.028,71,0.2795,25,False,ssf_cf49a18e12cd,ssf_b20798b8020c
AMFR_HUMAN,PTEN_HUMAN,2,0.07776,0.169,0.338,0.0,0.029,68,0.3222,7,False,ssf_cf49a18e12cd,ssf_a81536eee23e
AMFR_HUMAN,Q2N0S5_9HIV1,2,0.02159,0.026,0.4051,0.0,0.09,144,0.1785,2,False,ssf_cf49a18e12cd,ssf_1bf288bd319a
AMFR_HUMAN,Q53Z42_HUMAN,2,0.08236,0.148,0.3604,0.0,0.032,62,0.2595,8,False,ssf_cf49a18e12cd,ssf_77b576379330
AMFR_HUMAN,Q59976_STRSQ,2,0.05189,0.068,0.1807,0.0,0.028,105,0.2313,5,False,ssf_cf49a18e12cd,ssf_9ddcf4dec5c1
AMFR_HUMAN,Q6WV12_9MAXI,2,0.125,0.392,0.1707,0.008,0.03,180,0.2565,12,False,ssf_cf49a18e12cd,ssf_cba7b508de0e
AMFR_HUMAN,Q837P4_ENTFA,2,0.04926,0.555,0.3372,0.0,0.009,332,0.2333,4,False,ssf_cf49a18e12cd,ssf_cdfaa4cd70ca
AMFR_HUMAN,Q837P5_ENTFA,2,0.05024,0.166,0.3554,0.0,0.02,257,0.2187,5,False,ssf_cf49a18e12cd,ssf_cdfaa4cd70ca
AMFR_HUMAN,Q8WTC7_9CNID,2,0.1214,0.366,0.1953,0.008,0.05,100,0.2634,12,False,ssf_cf49a18e12cd,ssf_cba7b508de0e
AMFR_HUMAN,R1AB_SARS2,2,0.09027,0.275,0.2344,0.0,0.011,89,0.2517,9,False,ssf_cf49a18e12cd,ssf_9fc1ecf8307b
AMFR_HUMAN,RAD_ANTMA,2,0.3527,0.63,0.4531,0.138,0.054,37,0.3715,35,False,ssf_cf49a18e12cd,ssf_0eef6f01f081
AMFR_HUMAN,RASH_HUMAN,2,0.1289,0.788,0.1745,0.008,0.024,161,0.2185,12,False,ssf_cf49a18e12cd,ssf_550503ae0437
AMFR_HUMAN,RASK_HUMAN,2,0.1302,0.793,0.1781,0.009,0.018,159,0.2176,13,False,ssf_cf49a18e12cd,ssf_550503ae0437
AMFR_HUMAN,RBP1_HUMAN,2,0.3687,0.638,0.4697,0.15,0.037,54,0.3845,36,False,ssf_cf49a18e12cd,ssf_bc19e1d23319
AMFR_HUMAN,RCD1_ARATH,2,0.3381,0.737,0.4298,0.116,0.111,48,0.3583,33,False,ssf_cf49a18e12cd,ssf_329d15de34fe
AMFR_HUMAN,RCRO_LAMBD,2,0.3517,0.872,0.4184,0.138,0.047,63,0.3831,35,False,ssf_cf49a18e12cd,ssf_c6c5a726cc75
AMFR_HUMAN,RD23A_HUMAN,2,0.6593,0.936,0.7112,0.872,0.155,45,0.6741,65,False,ssf_cf49a18e12cd,ssf_3998cbaed1a7
AMFR_HUMAN,RDRP_I33A0,2,0.03782,0.487,0.2693,0.0,0.007,376,0.2209,3,False,ssf_cf49a18e12cd,ssf_bcc2d8a187a4
AMFR_HUMAN,REV_HV1H2,2,0.1684,0.397,0.422,0.014,0.018,54,0.2623,16,False,ssf_cf49a18e12cd,ssf_4ddd0adc0328
AMFR_HUMAN,RFAH_ECOLI,2,0.2923,0.782,0.31,0.082,0.086,58,0.3015,29,False,ssf_cf49a18e12cd,ssf_12ebdb52f01c
AMFR_HUMAN,RL20_AQUAE,2,0.4062,0.966,0.4373,0.214,0.059,67,0.4331,40,False,ssf_cf49a18e12cd,ssf_310c599ef29a
AMFR_HUMAN,RL40A_YEAST,2,0.1368,0.18,0.3314,0.009,0.065,61,0.223,13,False,ssf_cf49a18e12cd,ssf_09950e3c22ee
AMFR_HUMAN,RNC_ECOLI,2,0.1683,0.491,0.4663,0.014,0.044,112,0.3268,16,False,ssf_cf49a18e12cd,ssf_692c79c706c4
AMFR_HUMAN,RPC1_BP434,2,0.3427,0.787,0.3963,0.126,0.032,61,0.3754,34,False,ssf_cf49a18e12cd,ssf_ffbe89385f32
AMFR_HUMAN,RS15_GEOSE,2,0.3546,0.429,0.5193,0.138,0.035,28,0.4082,35,False,ssf_cf49a18e12cd,ssf_bcab9ac142f5
AMFR_HUMAN,S22A1_HUMAN,2,0.05888,0.421,0.2865,0.0,0.0,235,0.2711,5,False,ssf_cf49a18e12cd,ssf_dedbcf3c34ac
AMFR_HUMAN,SAV1_MOUSE,2,0.2507,0.617,0.3151,0.057,0.046,43,0.2536,25,False,ssf_cf49a18e12cd,ssf_0d40c1bb820d
AMFR_HUMAN,SBI_STAAM,2,0.3976,0.936,0.4635,0.196,0.031,64,0.4245,39,False,ssf_cf49a18e12cd,ssf_60dadcbd5371
AMFR_HUMAN,SC6A4_HUMAN,2,0.05117,0.057,0.2971,0.0,0.111,495,0.2655,5,False,ssf_cf49a18e12cd,ssf_5602ca7080fe
AMFR_HUMAN,SCIN_STAAR,2,0.333,0.914,0.3816,0.116,0.038,77,0.3732,33,False,ssf_cf49a18e12cd,ssf_cf940c8da196
AMFR_HUMAN,SDA_BACSU,2,0.3547,0.545,0.4215,0.138,0.021,47,0.3649,35,False,ssf_cf49a18e12cd,ssf_3a5047c87583
AMFR_HUMAN,SERC_HUMAN,2,0.08324,0.114,0.2609,0.0,0.04,176,0.2638,8,False,ssf_cf49a18e12cd,ssf_f2035d659d6a
AMFR_HUMAN,SHOC2_HUMAN,2,0.04556,0.115,0.3175,0.0,0.023,84,0.2132,4,False,ssf_cf49a18e12cd,ssf_6f5083a5504d
AMFR_HUMAN,SOX30_HUMAN,2,0.4393,0.632,0.5734,0.277,0.083,36,0.4665,43,False,ssf_cf49a18e12cd,ssf_6cc095ce3976
AMFR_HUMAN,SPA_STAAU,2,0.4124,0.909,0.5249,0.233,0.075,53,0.4274,41,False,ssf_cf49a18e12cd,ssf_5e471b6b3e5d
AMFR_HUMAN,SPG1_STRSG,2,0.0794,0.105,0.4914,0.0,0.019,52,0.2806,7,False,ssf_cf49a18e12cd,ssf_db4b6fc031cf
AMFR_HUMAN,SPG2_STRSG,2,0.3247,0.607,0.4084,0.106,0.0,47,0.3444,32,False,ssf_cf49a18e12cd,ssf_67e127763d3d
AMFR_HUMAN,SPIKE_SARS2,2,0.02574,0.205,0.3004,0.0,0.018,269,0.2322,2,False,ssf_cf49a18e12cd,ssf_761ae81d509c
AMFR_HUMAN,SPTN1_CHICK,2,0.2353,0.733,0.2727,0.057,0.031,71,0.2469,25,False,ssf_cf49a18e12cd,ssf_b0e1111705e5
AMFR_HUMAN,SQSTM_MOUSE,2,0.6379,0.83,0.6762,0.837,0.166,42,0.675,63,False,ssf_cf49a18e12cd,ssf_fd3d638b0af8
AMFR_HUMAN,SR43C_ARATH,2,0.2901,0.468,0.3128,0.082,0.025,39,0.2922,29,False,ssf_cf49a18e12cd,ssf_63a1a4e89751
AMFR_HUMAN,SRBS1_HUMAN,2,0.2224,0.851,0.2351,0.04,0.041,73,0.2406,22,False,ssf_cf49a18e12cd,ssf_09af8f8b7309
AMFR_HUMAN,SRC_HUMAN,2,0.06232,0.084,0.221,0.0,0.072,55,0.265,6,False,ssf_cf49a18e12cd,ssf_c38d9b4005f8
AMFR_HUMAN,SUMO1_HUMAN,2,0.2346,0.366,0.3907,0.051,0.044,67,0.3052,24,False,ssf_cf49a18e12cd,ssf_19622d9f3f73
AMFR_HUMAN,SYUA_HUMAN,2,0.08564,0.107,0.2748,0.0,0.105,19,0.1374,8,False,ssf_cf49a18e12cd,ssf_87dffde05f09
AMFR_HUMAN,TADBP_HUMAN,2,0.07663,0.229,0.3138,0.0,0.019,103,0.2442,7,False,ssf_cf49a18e12cd,ssf_b0af6d5185b3
AMFR_HUMAN,TAT_HV1BR,2,0.1752,0.384,0.2757,0.016,0.0,56,0.2129,17,False,ssf_cf49a18e12cd,ssf_0d06a357cd85
AMFR_HUMAN,TCRG1_MOUSE,2,0.244,0.757,0.2929,0.051,0.023,42,0.2491,24,False,ssf_cf49a18e12cd,ssf_a21d29addbd9
AMFR_HUMAN,THO1_YEAST,2,0.3309,0.756,0.4168,0.116,0.045,44,0.3369,33,False,ssf_cf49a18e12cd,ssf_a523304d9a92
AMFR_HUMAN,TNKS2_HUMAN,2,0.3312,0.695,0.3806,0.116,0.062,48,0.3464,33,False,ssf_cf49a18e12cd,ssf_1a40a2a2ccdc
AMFR_HUMAN,TPK1_HUMAN,2,0.0888,0.243,0.2876,0.0,0.045,71,0.2227,10,False,ssf_cf49a18e12cd,ssf_3c2e5ceba3be
AMFR_HUMAN,TPMT_HUMAN,2,0.09529,0.637,0.2275,0.0,0.011,170,0.2069,9,False,ssf_cf49a18e12cd,ssf_b5a772423035
AMFR_HUMAN,TPOR_HUMAN,2,0.03706,0.055,0.2436,0.0,0.0,262,0.1946,5,False,ssf_cf49a18e12cd,ssf_540579521118
AMFR_HUMAN,TRPC_SACS2,2,0.1003,0.605,0.198,0.0,0.006,219,0.2256,10,False,ssf_cf49a18e12cd,ssf_415fc4c4433b
AMFR_HUMAN,TRPC_THEMA,2,0.1096,0.369,0.3176,0.0,0.009,220,0.2772,10,False,ssf_cf49a18e12cd,ssf_415fc4c4433b
AMFR_HUMAN,UBC9_HUMAN,2,0.1988,0.723,0.3444,0.024,0.041,120,0.3044,19,False,ssf_cf49a18e12cd,ssf_ab8b39992872
AMFR_HUMAN,UBE4B_HUMAN,2,0.2563,0.609,0.3234,0.057,0.054,55,0.2744,25,False,ssf_cf49a18e12cd,ssf_a47101dcf200
AMFR_HUMAN,UBE4B_MOUSE,2,0.02661,0.09,0.2458,0.0,0.008,117,0.2265,2,False,ssf_cf49a18e12cd,ssf_2d1d2debf9a5
AMFR_HUMAN,UBR5_HUMAN,2,0.5143,0.983,0.5648,0.505,0.114,61,0.5467,51,False,ssf_cf49a18e12cd,ssf_059a8d032aa4
AMFR_HUMAN,VG08_BPP22,2,0.3835,0.638,0.4376,0.179,0.045,44,0.406,38,False,ssf_cf49a18e12cd,ssf_ffaeeb6011e9
AMFR_HUMAN,VILI_CHICK,2,0.2593,0.6,0.344,0.063,0.069,43,0.2786,26,False,ssf_cf49a18e12cd,ssf_0815efaffc38
AMFR_HUMAN,VKOR1_HUMAN,2,0.1657,0.699,0.2862,0.014,0.033,121,0.2663,16,False,ssf_cf49a18e12cd,ssf_893ea5ec829f
AMFR_HUMAN,VRPI_BPT7,2,0.3429,0.696,0.4125,0.126,0.056,53,0.3582,34,False,ssf_cf49a18e12cd,ssf_c5c95e85f55b
AMFR_HUMAN,YAIA_ECOLI,2,0.3189,0.75,0.4056,0.106,0.019,54,0.3244,32,False,ssf_cf49a18e12cd,ssf_ac44f5c3e836
AMFR_HUMAN,YNZC_BACSU,2,0.3546,0.553,0.4417,0.138,0.071,42,0.3812,35,False,ssf_cf49a18e12cd,ssf_ca121528f828
AMIE_PSEAE,ANCSZ,2,0.1617,0.757,0.2168,0.014,0.01,729,0.2073,16,False,ssf_0406336ba271,ssf_88339869d8cb
AMIE_PSEAE,ARGR_ECOLI,2,0.1155,0.205,0.2652,0.007,0.035,258,0.2378,11,False,ssf_0406336ba271,ssf_8af86fe1b209
AMIE_PSEAE,BBC1_YEAST,2,0.09926,0.251,0.2237,0.0,0.054,92,0.2253,9,False,ssf_0406336ba271,ssf_09af8f8b7309
AMIE_PSEAE,BCHB_CHLTE,2,0.08475,0.668,0.2339,0.0,0.004,243,0.2251,8,False,ssf_0406336ba271,ssf_39e5faa59a41
AMIE_PSEAE,BLAT_ECOLX,2,0.2293,0.633,0.2319,0.045,0.042,379,0.2459,23,False,ssf_0406336ba271,ssf_1ca89f8f1279
AMIE_PSEAE,BRCA1_HUMAN,2,0.06745,0.997,0.2388,0.0,0.005,2055,0.163,6,False,ssf_0406336ba271,ssf_234425dd63e3
AMIE_PSEAE,C6KNH7_9INFA,2,0.1622,0.329,0.2139,0.014,0.024,433,0.1987,16,False,ssf_0406336ba271,ssf_97ae43962602
AMIE_PSEAE,CALM1_HUMAN,2,0.1569,0.714,0.1766,0.014,0.031,312,0.2222,16,False,ssf_0406336ba271,ssf_90261541b92a
AMIE_PSEAE,CAPSD_AAV2S,2,0.1475,0.608,0.1917,0.01,0.016,604,0.2004,14,False,ssf_0406336ba271,ssf_c257cf3223e7
AMIE_PSEAE,CAR11_HUMAN,2,0.09467,0.447,0.1874,0.0,0.016,722,0.1688,9,False,ssf_0406336ba271,ssf_0fc8efec29c6
AMIE_PSEAE,CAS9_STRP1,2,0.101,0.953,0.2045,0.0,0.006,1474,0.1994,10,False,ssf_0406336ba271,ssf_2fb7a12de8e4
AMIE_PSEAE,CASP3_HUMAN,2,0.2699,0.743,0.2498,0.063,0.019,358,0.3013,26,False,ssf_0406336ba271,ssf_99e3b36fb3c0
AMIE_PSEAE,CASP7_HUMAN,2,0.2495,0.84,0.225,0.051,0.026,424,0.2686,24,False,ssf_0406336ba271,ssf_99e3b36fb3c0
AMIE_PSEAE,CATR_CHLRE,2,0.1304,0.685,0.1564,0.009,0.011,251,0.2589,13,False,ssf_0406336ba271,ssf_61777c3573dc
AMIE_PSEAE,CBPA2_HUMAN,2,0.1154,0.581,0.2067,0.007,0.004,220,0.2481,11,False,ssf_0406336ba271,ssf_f46e1f61009b
AMIE_PSEAE,CBS_HUMAN,2,0.2031,0.793,0.2165,0.029,0.019,610,0.2448,20,False,ssf_0406336ba271,ssf_c188af622fce
AMIE_PSEAE,CBX4_HUMAN,2,0.1024,0.488,0.1728,0.0,0.023,173,0.2424,10,False,ssf_0406336ba271,ssf_63a1a4e89751
AMIE_PSEAE,CCDB_ECOLI,2,0.1305,0.749,0.1899,0.008,0.023,302,0.219,12,False,ssf_0406336ba271,ssf_e2b2659337b1
AMIE_PSEAE,CCR5_HUMAN,2,0.2021,0.727,0.1884,0.029,0.03,411,0.2031,20,False,ssf_0406336ba271,ssf_2fd7d813c6f4
AMIE_PSEAE,CD19_HUMAN,2,0.1782,0.892,0.2325,0.016,0.013,658,0.2149,17,False,ssf_0406336ba271,ssf_1ca77773c7d8
AMIE_PSEAE,CP2C9_HUMAN,2,0.2241,0.784,0.2061,0.04,0.02,525,0.2548,22,False,ssf_0406336ba271,ssf_1d3a8e32222c
AMIE_PSEAE,CSN4_MOUSE,2,0.1288,0.393,0.2907,0.008,0.013,149,0.303,12,False,ssf_0406336ba271,ssf_322a3fa1e236
AMIE_PSEAE,CUE1_YEAST,2,0.08987,0.691,0.2529,0.0,0.012,250,0.263,8,False,ssf_0406336ba271,ssf_7dd9b66382a6
AMIE_PSEAE,D7PM05_CLYGR,2,0.2474,0.801,0.2026,0.051,0.029,371,0.2854,24,False,ssf_0406336ba271,ssf_cba7b508de0e
AMIE_PSEAE,DLG4_HUMAN,2,0.1574,0.769,0.2175,0.011,0.008,734,0.2178,15,False,ssf_0406336ba271,ssf_d98da1f7d712
AMIE_PSEAE,DLG4_RAT,2,0.1575,0.758,0.222,0.011,0.013,657,0.2192,15,False,ssf_0406336ba271,ssf_d98da1f7d712
AMIE_PSEAE,DN7A_SACS2,2,0.08897,0.725,0.197,0.0,0.011,253,0.215,8,False,ssf_0406336ba271,ssf_0500559dbf7c
AMIE_PSEAE,DNJA1_HUMAN,2,0.129,0.431,0.223,0.008,0.045,155,0.2885,12,False,ssf_0406336ba271,ssf_3bc8071abc2c
AMIE_PSEAE,DOCK1_MOUSE,2,0.09408,0.434,0.2131,0.0,0.006,162,0.183,9,False,ssf_0406336ba271,ssf_09af8f8b7309
AMIE_PSEAE,DYR_ECOLI,2,0.2275,0.74,0.2242,0.04,0.03,295,0.3096,22,False,ssf_0406336ba271,ssf_0932cd92de6e
AMIE_PSEAE,ENVZ_ECOLI,2,0.1059,0.139,0.2662,0.007,0.07,62,0.2879,11,False,ssf_0406336ba271,ssf_2ee5fd080c0f
AMIE_PSEAE,ENV_HV1BR,2,0.1164,0.475,0.222,0.007,0.011,517,0.1747,11,False,ssf_0406336ba271,ssf_1bf288bd319a
AMIE_PSEAE,EPHB2_HUMAN,2,0.1101,0.705,0.1591,0.0,0.011,259,0.2202,10,False,ssf_0406336ba271,ssf_1a40a2a2ccdc
AMIE_PSEAE,ESTA_BACSU,2,0.2955,0.723,0.2688,0.082,0.035,283,0.3607,29,False,ssf_0406336ba271,ssf_eb7894768bb9
AMIE_PSEAE,FECA_ECOLI,2,0.1047,0.257,0.231,0.0,0.0,115,0.231,10,False,ssf_0406336ba271,ssf_9a3ea6c0c19c
AMIE_PSEAE,FKBP3_HUMAN,2,0.103,0.269,0.2085,0.007,0.024,245,0.2192,11,False,ssf_0406336ba271,ssf_178ecc1910b6
